,ID,label,POS tags
39,GO:0102082,demethylrebeccamycin--D-glucose O-methyltransferase activity,NOUN | NOUN | NOUN
40,GO:0044478,envenomation resulting in positive regulation of platelet aggregation in another organism,NOUN | ADP | ADP | ADJ | NOUN | ADP | NOUN | NOUN | ADP | DET | NOUN
41,GO:0001548,follicular fluid formation in ovarian follicle antrum,ADJ | NOUN | NOUN | ADP | ADJ | NOUN | NOUN
42,GO:0034020,neoxanthin synthase activity,NOUN | NOUN | NOUN
43,GO:1904008,response to monosodium glutamate,NOUN | ADP | NOUN | NOUN
44,GO:0071813,lipoprotein particle binding,NOUN | NOUN | VERB
45,GO:1904915,positive regulation of establishment of protein-containing complex localization to telomere,ADJ | NOUN | ADP | NOUN | ADP | NOUN | NOUN | NOUN | ADP | NOUN
46,GO:0046527,glucosyltransferase activity,NOUN | NOUN
47,GO:1905766,positive regulation of protection from non-homologous end joining at telomere,ADJ | NOUN | ADP | NOUN | ADP | ADJ | NOUN | NOUN | ADP | NOUN
48,GO:0030129,clathrin coat of synaptic vesicle,NOUN | NOUN | ADP | ADJ | NOUN
49,GO:0102953,hypoglycin A gamma-glutamyl transpeptidase activity,NOUN | NOUN | NOUN | NOUN | NOUN
50,GO:0030486,smooth muscle dense body,ADJ | NOUN | ADJ | NOUN
51,GO:0070717,poly-purine tract binding,NOUN | NOUN | VERB
52,GO:0003010,voluntary skeletal muscle contraction,ADJ | ADJ | NOUN | NOUN
53,GO:0110111,negative regulation of animal organ morphogenesis,ADJ | NOUN | ADP | NOUN | NOUN | NOUN
54,GO:0080188,gene silencing by RNA-directed DNA methylation,NOUN | NOUN | ADP | VERB | NOUN | NOUN
55,GO:0031638,zymogen activation,NOUN | NOUN
56,GO:0070009,serine-type aminopeptidase activity,NOUN | NOUN | NOUN
57,GO:0048929,efferent axon development in posterior lateral line nerve,ADJ | NOUN | NOUN | ADP | ADJ | ADJ | NOUN | NOUN
58,GO:0031922,pyridoxamine transport,NOUN | NOUN
59,GO:0018623,"benzoate 1,2-dioxygenase activity",NOUN | NOUN | NOUN
60,GO:0004995,tachykinin receptor activity,NOUN | NOUN | NOUN
61,GO:0080157,regulation of plant-type cell wall organization or biogenesis,NOUN | ADP | NOUN | NOUN | NOUN | NOUN | CCONJ | NOUN
62,GO:1900591,violaceol II metabolic process,NOUN | NUM | ADJ | NOUN
63,GO:0046398,UDP-glucuronate metabolic process,NOUN | ADJ | NOUN
64,GO:0019156,isoamylase activity,NOUN | NOUN
65,GO:0043672,nexine,PROPN
66,GO:0039554,suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of host MDA-5 activity,NOUN | ADP | NOUN | ADP | NOUN | ADJ | NOUN | NOUN | NOUN | NOUN | VERB | NOUN | ADP | NOUN | ADP | NOUN | NOUN | NOUN
67,GO:0018687,"biphenyl 2,3-dioxygenase activity",NOUN | NOUN | NOUN
68,GO:2000669,negative regulation of dendritic cell apoptotic process,ADJ | NOUN | ADP | ADJ | NOUN | ADJ | NOUN
69,GO:0120222,regulation of blastocyst development,NOUN | ADP | NOUN | NOUN
70,GO:0010593,negative regulation of lamellipodium assembly,ADJ | NOUN | ADP | NOUN | NOUN
71,GO:2000513,positive regulation of granzyme A production,ADJ | NOUN | ADP | NOUN | NOUN | NOUN
72,GO:0032528,microvillus organization,NOUN | NOUN
73,GO:0044523,envenomation resulting in damage of muscle extracellular matrix in another organism,NOUN | ADP | ADP | NOUN | ADP | NOUN | ADJ | NOUN | ADP | DET | NOUN
74,GO:0009582,detection of abiotic stimulus,NOUN | ADP | ADJ | NOUN
75,GO:0015841,chromaffin granule amine transport,NOUN | ADJ | NOUN | NOUN
76,GO:0018396,peptidyl-lysine hydroxylation to 4-hydroxy-L-lysine,NOUN | NOUN | ADP | NOUN
77,GO:0033822,glucosyl-DNA beta-glucosyltransferase activity,NOUN | NOUN | NOUN
78,GO:0099088,axonal transport of messenger ribonucleoprotein complex,ADJ | NOUN | ADP | NOUN | NOUN | NOUN
79,GO:1904416,negative regulation of xenophagy,ADJ | NOUN | ADP | NOUN
80,GO:0032868,response to insulin,NOUN | ADP | NOUN
81,GO:0042718,yolk granule,NOUN | ADJ
82,GO:1903307,positive regulation of regulated secretory pathway,ADJ | NOUN | ADP | VERB | NOUN | NOUN
83,GO:0004864,protein phosphatase inhibitor activity,NOUN | NOUN | NOUN | NOUN
84,GO:0045642,positive regulation of basophil differentiation,ADJ | NOUN | ADP | NOUN | NOUN
85,GO:2001133,methane biosynthetic process from methanethiol,NOUN | ADJ | NOUN | ADP | NOUN
86,GO:0046126,pyrimidine deoxyribonucleoside biosynthetic process,NOUN | NOUN | ADJ | NOUN
87,GO:0044218,other organism cell membrane,ADJ | NOUN | NOUN | NOUN
88,GO:0032188,establishment of actomyosin contractile ring localization,NOUN | ADP | NOUN | ADJ | NOUN | NOUN
89,GO:1902063,betaine aldehyde biosynthetic process,NOUN | NOUN | ADJ | NOUN
90,GO:0047664,aminoimidazolase activity,NOUN | NOUN
91,GO:0035264,multicellular organism growth,ADJ | NOUN | NOUN
92,GO:0034363,intermediate-density lipoprotein particle,ADJ | NOUN | NOUN
93,GO:0003255,endocardial precursor cell differentiation,ADJ | NOUN | NOUN | NOUN
94,GO:0070192,chromosome organization involved in meiotic cell cycle,NOUN | NOUN | ADJ | ADP | ADJ | NOUN | NOUN
95,GO:0102267,tRNA-dihydrouridine20b synthase activity,NOUN | NOUN | NOUN
96,GO:0070772,PAS complex,PROPN | PROPN
97,GO:0035310,notum cell fate specification,INTJ | NOUN | NOUN | NOUN
98,GO:0004470,malic enzyme activity,ADJ | NOUN | NOUN
99,GO:0080040,positive regulation of cellular response to phosphate starvation,ADJ | NOUN | ADP | ADJ | NOUN | ADP | NOUN | NOUN
100,GO:0016938,kinesin I complex,PROPN | NOUN | ADJ
101,GO:0014035,neural crest cell fate determination,ADJ | NOUN | NOUN | NOUN | NOUN
102,GO:0098947,intrinsic component of postsynaptic endocytic zone membrane,ADJ | NOUN | ADP | ADJ | ADJ | NOUN | NOUN
103,GO:0070355,synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a-complexin II complex,NOUN | NOUN | NUM | NOUN
104,GO:0047357,UDP-galactose-UDP-N-acetylglucosamine galactose phosphotransferase activity,NOUN | NOUN | NOUN | NOUN
105,GO:0090357,regulation of tryptophan metabolic process,NOUN | ADP | NOUN | ADJ | NOUN
106,GO:0110050,deaminated glutathione amidase activity,VERB | NOUN | NOUN | NOUN
107,GO:0045704,regulation of salivary gland boundary specification,NOUN | ADP | ADJ | NOUN | NOUN | NOUN
108,GO:0085017,entry into host cell by a symbiont-containing vacuole,NOUN | ADP | NOUN | NOUN | ADP | DET | NOUN | NOUN
109,GO:0071279,cellular response to cobalt ion,ADJ | NOUN | ADP | NOUN | NOUN
110,GO:0001682,tRNA 5'-leader removal,NOUN | NOUN | NOUN
111,GO:0033581,protein galactosylation in Golgi,NOUN | NOUN | ADP | PROPN
112,GO:0062065,box H/ACA snoRNP complex binding,NOUN | NOUN | NOUN | ADJ | NOUN
113,GO:0051878,lateral element assembly,ADJ | NOUN | NOUN
114,GO:0099569,presynaptic cytoskeleton,ADJ | NOUN
115,GO:0051465,negative regulation of corticotropin-releasing hormone secretion,ADJ | NOUN | ADP | NOUN | NOUN | NOUN
116,GO:0004377,"GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity",NOUN | NOUN | NOUN
117,GO:1990249,"nucleotide-excision repair, DNA damage recognition complex",NOUN | NOUN | NOUN | NOUN | NOUN | NOUN
118,GO:0050512,lactosylceramide 4-alpha-galactosyltransferase activity,NOUN | NOUN | NOUN
119,GO:0120117,T cell meandering migration,NOUN | NOUN | NOUN | NOUN
120,GO:0061529,"epinephrine secretion, neurotransmission",NOUN | NOUN | NOUN
121,GO:0072675,osteoclast fusion,NOUN | NOUN
122,GO:0098845,postsynaptic endosome,ADJ | NOUN
123,GO:0043632,modification-dependent macromolecule catabolic process,NOUN | NOUN | ADJ | NOUN
124,GO:0106142,rRNA (adenine-N1-)-methyltransferase activity,NOUN | NOUN | NOUN
125,GO:0060724,coreceptor activity involved in epidermal growth factor receptor signaling pathway,ADJ | NOUN | ADJ | ADP | ADJ | NOUN | NOUN | NOUN | NOUN | NOUN
126,GO:0030689,Noc complex,X | ADJ
127,GO:0039674,exit of virus from host cell nucleus,NOUN | ADP | NOUN | ADP | NOUN | NOUN | NOUN
128,GO:0005372,water transmembrane transporter activity,NOUN | NOUN | NOUN | NOUN
129,GO:0006656,phosphatidylcholine biosynthetic process,NOUN | ADJ | NOUN
130,GO:0034844,naphthyl-2-methyl-succinate CoA-transferase activity,NOUN | NOUN | NOUN
131,GO:0036184,asperthecin biosynthetic process,NOUN | ADJ | NOUN
132,GO:0051918,negative regulation of fibrinolysis,ADJ | NOUN | ADP | NOUN
133,GO:1904649,regulation of fat cell apoptotic process,NOUN | ADP | NOUN | NOUN | ADJ | NOUN
134,GO:1901073,glucosamine-containing compound biosynthetic process,NOUN | NOUN | ADJ | NOUN
135,GO:2001033,negative regulation of double-strand break repair via nonhomologous end joining,ADJ | NOUN | ADP | NOUN | NOUN | NOUN | ADP | ADJ | NOUN | NOUN
136,GO:0018627,"2-aminobenzenesulfonate 2,3-dioxygenase activity",NOUN | NOUN | NOUN
137,GO:0044202,host cell nuclear outer membrane,NOUN | NOUN | ADJ | ADJ | NOUN
138,GO:0047756,chondroitin 4-sulfotransferase activity,NOUN | NOUN | NOUN
139,GO:0070299,positive regulation of phosphorelay signal transduction system,ADJ | NOUN | ADP | NOUN | NOUN | NOUN | NOUN
140,GO:0007267,cell-cell signaling,NOUN | NOUN
141,GO:0097427,microtubule bundle,NOUN | NOUN
142,GO:0018446,pinocarveol dehydrogenase activity,NOUN | NOUN | NOUN
143,GO:0033893,ribonuclease IV activity,NOUN | NUM | NOUN
144,GO:1904452,negative regulation of potassium:proton exchanging ATPase activity,ADJ | NOUN | ADP | NOUN | NOUN | NOUN | NOUN
145,GO:0017062,respiratory chain complex III assembly,NOUN | NOUN | NOUN | NUM | NOUN
146,GO:1990157,DnaA-DnaB-DnaC complex,PROPN | NOUN
147,GO:2000390,negative regulation of neutrophil extravasation,ADJ | NOUN | ADP | NOUN | NOUN
148,GO:0072669,tRNA-splicing ligase complex,NOUN | NOUN | NOUN
149,GO:0034697,response to prostaglandin I,NOUN | ADP | NOUN | PRON
150,GO:2001016,positive regulation of skeletal muscle cell differentiation,ADJ | NOUN | ADP | ADJ | NOUN | NOUN | NOUN
151,GO:0034865,"2,4,4-trimethylpentanoate-CoA ligase activity",NOUN | NOUN | NOUN
152,GO:0050181,phorbol-diester hydrolase activity,NOUN | NOUN | NOUN
153,GO:0070886,positive regulation of calcineurin-NFAT signaling cascade,ADJ | NOUN | ADP | NOUN | NOUN | NOUN
154,GO:0010467,gene expression,NOUN | NOUN
155,GO:0002387,immune response in gut-associated lymphoid tissue,ADJ | NOUN | ADP | NOUN | NOUN | NOUN
156,GO:0070892,lipoteichoic acid immune receptor activity,ADJ | NOUN | ADJ | NOUN | NOUN
157,GO:0002299,alpha-beta intraepithelial T cell differentiation,NOUN | ADJ | NOUN | NOUN | NOUN
158,GO:0035854,eosinophil fate commitment,ADJ | NOUN | NOUN
159,GO:0071337,negative regulation of hair follicle cell proliferation,ADJ | NOUN | ADP | NOUN | NOUN | NOUN | NOUN
160,GO:0019393,glucarate biosynthetic process,NOUN | ADJ | NOUN
161,GO:0098788,dendritic knob,ADJ | NOUN
162,GO:0043549,regulation of kinase activity,NOUN | ADP | NOUN | NOUN
163,GO:0120281,autolysosome membrane,ADJ | NOUN
164,GO:0033752,acetylacetone-cleaving enzyme activity,NOUN | NOUN | NOUN
165,GO:0006959,humoral immune response,ADJ | ADJ | NOUN
166,GO:0050364,tryptophan dimethylallyltransferase activity,NOUN | NOUN | NOUN
167,GO:2000109,regulation of macrophage apoptotic process,NOUN | ADP | NOUN | ADJ | NOUN
168,GO:0031834,neurokinin receptor binding,NOUN | NOUN | VERB
169,GO:0060900,embryonic camera-type eye formation,ADJ | NOUN | NOUN | NOUN
170,GO:0001891,phagocytic cup,ADJ | NOUN
171,GO:0097543,ciliary inversin compartment,ADJ | NOUN | NOUN
172,GO:0009529,plastid intermembrane space,ADJ | ADJ | NOUN
173,GO:0010299,detoxification of cobalt ion,NOUN | ADP | NOUN | NOUN
174,GO:0048719,epistomal sclerite morphogenesis,ADJ | NOUN | NOUN
175,GO:0051131,chaperone-mediated protein complex assembly,NOUN | NOUN | NOUN | NOUN
176,GO:0002444,myeloid leukocyte mediated immunity,NOUN | NOUN | VERB | NOUN
177,GO:0031963,cortisol receptor activity,NOUN | NOUN | NOUN
178,GO:1903095,ribonuclease III complex,NOUN | NUM | NOUN
179,GO:0046687,response to chromate,NOUN | ADP | NOUN
180,GO:0019725,cellular homeostasis,ADJ | NOUN
181,GO:0010266,response to vitamin B1,NOUN | ADP | NOUN | NOUN
182,GO:0048712,negative regulation of astrocyte differentiation,ADJ | NOUN | ADP | NOUN | NOUN
183,GO:0035862,dITP metabolic process,ADJ | ADJ | NOUN
184,GO:0009189,deoxyribonucleoside diphosphate biosynthetic process,NOUN | NOUN | ADJ | NOUN
185,GO:0031082,BLOC complex,PROPN | NOUN
186,GO:0007079,mitotic chromosome movement towards spindle pole,ADJ | NOUN | NOUN | ADP | ADJ | NOUN
187,GO:0018489,vanillate monooxygenase activity,NOUN | NOUN | NOUN
188,GO:1900792,shamixanthone catabolic process,NOUN | ADJ | NOUN
189,GO:0048361,root epithelial mucilage metabolic process,NOUN | ADJ | NOUN | ADJ | NOUN
190,GO:0052618,coenzyme F420-0:L-glutamate ligase activity,NOUN | NOUN | NOUN | NOUN
191,GO:0008081,phosphoric diester hydrolase activity,ADJ | NOUN | NOUN | NOUN
192,GO:1904802,RITS complex assembly,NOUN | ADJ | NOUN
193,GO:1902113,nucleotide phosphorylation involved in DNA repair,NOUN | NOUN | ADJ | ADP | NOUN | NOUN
194,GO:0051510,regulation of unidimensional cell growth,NOUN | ADP | ADJ | NOUN | NOUN
195,GO:0060224,regulation of retinal rod cell fate commitment,NOUN | ADP | ADJ | NOUN | NOUN | NOUN | NOUN
196,GO:0060826,transforming growth factor beta receptor signaling pathway involved in neural plate anterior/posterior pattern formation,VERB | NOUN | NOUN | NOUN | NOUN | NOUN | NOUN | VERB | ADP | ADJ | NOUN | ADJ | NOUN | NOUN
197,GO:0110004,positive regulation of tRNA methylation,ADJ | NOUN | ADP | NOUN | NOUN
198,GO:1900926,regulation of L-threonine import across plasma membrane,NOUN | ADP | NOUN | NOUN | ADP | NOUN | NOUN
199,GO:0044149,positive regulation of formation of structure involved in a symbiotic process,ADJ | NOUN | ADP | NOUN | ADP | NOUN | VERB | ADP | DET | ADJ | NOUN
200,GO:0051055,negative regulation of lipid biosynthetic process,ADJ | NOUN | ADP | NOUN | ADJ | NOUN
201,GO:1902552,negative regulation of catalase activity,ADJ | NOUN | ADP | NOUN | NOUN
202,GO:0048555,generative cell nucleus,ADJ | NOUN | NOUN
203,GO:1900130,regulation of lipid binding,NOUN | ADP | NOUN | VERB
204,GO:0048017,inositol lipid-mediated signaling,NOUN | NOUN | NOUN
205,GO:0086070,SA node cell to atrial cardiac muscle cell communication,NOUN | NOUN | NOUN | ADP | ADJ | ADJ | NOUN | NOUN | NOUN
206,GO:0039641,viral inner membrane,ADJ | ADJ | NOUN
207,GO:2001030,negative regulation of cellular glucuronidation,ADJ | NOUN | ADP | ADJ | NOUN
208,GO:0034091,regulation of maintenance of sister chromatid cohesion,NOUN | ADP | NOUN | ADP | NOUN | NOUN | NOUN
209,GO:0070606,regulation of (1->3)-alpha-glucan biosynthetic process,NOUN | ADP | NOUN | ADJ | NOUN
210,GO:0050256,ribitol-5-phosphate 2-dehydrogenase activity,NOUN | NOUN | NOUN
211,GO:0042989,sequestering of actin monomers,NOUN | ADP | NOUN | NOUN
212,GO:0042730,fibrinolysis,NOUN
213,GO:0035125,embryonic anal fin morphogenesis,ADJ | ADJ | NOUN | NOUN
214,GO:0019267,asparagine biosynthetic process from cysteine,NOUN | ADJ | NOUN | ADP | NOUN
215,GO:0090246,convergent extension involved in somitogenesis,ADJ | NOUN | VERB | ADP | NOUN
216,GO:0006005,L-fucose biosynthetic process,NOUN | ADJ | NOUN
217,GO:0032878,regulation of establishment or maintenance of cell polarity,NOUN | ADP | NOUN | CCONJ | NOUN | ADP | NOUN | NOUN
218,GO:0071782,endoplasmic reticulum tubular network,ADJ | NOUN | ADJ | NOUN
219,GO:0019365,pyridine nucleotide salvage,NOUN | NOUN | NOUN
220,GO:0010570,regulation of filamentous growth,NOUN | ADP | ADJ | NOUN
221,GO:0004134,4-alpha-glucanotransferase activity,NOUN | NOUN
222,GO:0051562,negative regulation of mitochondrial calcium ion concentration,ADJ | NOUN | ADP | ADJ | NOUN | NOUN | NOUN
223,GO:0050488,ecdysteroid UDP-glucosyltransferase activity,NOUN | NOUN | NOUN
224,GO:0000352,trans assembly of SL-containing precatalytic spliceosome,ADJ | NOUN | ADP | NOUN | ADJ | NOUN
225,GO:0033301,cell cycle comprising mitosis without cytokinesis,NOUN | NOUN | NOUN | NOUN | ADP | NOUN
226,GO:0085033,induction by symbiont of host I-kappaB kinase/NF-kappaB cascade,NOUN | ADP | NOUN | ADP | NOUN | NOUN | NOUN | NOUN
227,GO:0052758,"coenzyme F420-dependent 2,4,6-trinitrophenol reductase activity",NOUN | NOUN | NOUN | NOUN | NOUN
228,GO:0098643,banded collagen fibril,VERB | NOUN | NOUN
229,GO:0140718,facultative heterochromatin assembly,ADJ | NOUN | NOUN
230,GO:0035471,luteinizing hormone signaling pathway involved in ovarian follicle development,ADJ | NOUN | NOUN | NOUN | ADJ | ADP | ADJ | NOUN | NOUN
231,GO:0047761,butyrate kinase activity,NOUN | NOUN | NOUN
232,GO:0098924,retrograde trans-synaptic signaling by nitric oxide,ADJ | ADJ | NOUN | ADP | NOUN | NOUN
233,GO:0016438,tRNA-queuosine beta-mannosyltransferase activity,NOUN | NOUN | NOUN
234,GO:0072001,renal system development,ADJ | NOUN | NOUN
235,GO:0033417,CUU codon-amino acid adaptor activity,NOUN | NOUN | NOUN | NOUN | NOUN
236,GO:0000993,RNA polymerase II complex binding,NOUN | NOUN | NOUN | NOUN | NOUN
237,GO:0030750,putrescine N-methyltransferase activity,NOUN | NOUN | NOUN
238,GO:0045332,phospholipid translocation,NOUN | NOUN
239,GO:1901735,(R)-mevalonic acid metabolic process,ADJ | NOUN | ADJ | NOUN
240,GO:0060635,positive regulation of (1->3)-beta-D-glucan biosynthetic process,ADJ | NOUN | ADP | NOUN | ADJ | NOUN
241,GO:1901557,response to fenofibrate,NOUN | ADP | NOUN
242,GO:0009838,abscission,NOUN
243,GO:1902432,protein localization to division septum,NOUN | NOUN | ADP | NOUN | NOUN
244,GO:0140669,negative regulation of oxytocin production,ADJ | NOUN | ADP | NOUN | NOUN
245,GO:0009977,proton motive force dependent protein transmembrane transporter activity,NOUN | NOUN | NOUN | ADJ | NOUN | NOUN | NOUN | NOUN
246,GO:0046441,D-lysine metabolic process,NOUN | ADJ | NOUN
247,GO:0005280,amino acid:proton symporter activity,NOUN | NOUN | NOUN | NOUN
248,GO:0090672,telomerase RNA localization,NOUN | NOUN | NOUN
249,GO:0099108,potassium channel activator activity involved in G protein-coupled receptor signaling pathway,NOUN | NOUN | NOUN | NOUN | VERB | ADP | NOUN | VERB | NOUN | NOUN | NOUN
250,GO:0006102,isocitrate metabolic process,NOUN | ADJ | NOUN
251,GO:0004198,calcium-dependent cysteine-type endopeptidase activity,ADJ | NOUN | NOUN | NOUN
252,GO:0034342,response to type III interferon,NOUN | ADP | NOUN | NUM | NOUN
253,GO:0035918,negative regulation of voltage-gated calcium channel activity in another organism,ADJ | NOUN | ADP | VERB | NOUN | NOUN | NOUN | ADP | DET | NOUN
254,GO:0052592,"oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor",NOUN | PUNCT | VERB | ADP | NOUN | CCONJ | NOUN | NOUN | ADP | DET | NOUN | NOUN | ADP | NOUN
255,GO:0007398,ectoderm development,NOUN | NOUN
256,GO:0035703,monocyte migration into blood stream,NOUN | NOUN | ADP | NOUN | NOUN
257,GO:1903681,regulation of epithelial cell-cell adhesion involved in epithelium migration,NOUN | ADP | ADJ | NOUN | NOUN | VERB | ADP | NOUN | NOUN
258,GO:1901875,positive regulation of post-translational protein modification,ADJ | NOUN | ADP | ADJ | NOUN | NOUN
259,GO:0034231,islet amyloid polypeptide processing,NOUN | NOUN | NOUN | NOUN
260,GO:0042854,eugenol metabolic process,NOUN | ADJ | NOUN
261,GO:0102587,cyanidin 3-O-[2''-O-(2''-O-(sinapoyl) xylosyl) 6''-O-(p-O-(glucosyl)-p-coumaroyl) glucoside] 5-O-[6''-O-(malonyl) glucoside] sinapoylglucose glucosyltransferase activity,NOUN | NOUN | NOUN | NOUN | NOUN | NOUN | NOUN | NOUN | NOUN | NOUN
262,GO:0016591,"RNA polymerase II, holoenzyme",NOUN | NOUN | NOUN | NOUN
263,GO:0070085,glycosylation,NOUN
264,GO:0044468,envenomation resulting in modulation of blood coagulation in another organism,NOUN | ADP | ADP | NOUN | ADP | NOUN | NOUN | ADP | DET | NOUN
265,GO:2000540,negative regulation of protein geranylgeranylation,ADJ | NOUN | ADP | NOUN | NOUN
266,GO:0010049,acquisition of plant reproductive competence,NOUN | ADP | NOUN | ADJ | NOUN
267,GO:0044323,retinoic acid-responsive element binding,ADJ | ADJ | NOUN | NOUN
268,GO:0044568,secondary cell wall cellulose synthase complex,ADJ | NOUN | NOUN | NOUN | NOUN | NOUN
269,GO:0071587,CAAX-box protein modification,NOUN | NOUN | NOUN
270,GO:0060667,branch elongation involved in salivary gland morphogenesis,NOUN | NOUN | ADJ | ADP | ADJ | NOUN | NOUN
271,GO:0010849,"regulation of proton-transporting ATPase activity, rotational mechanism",NOUN | ADP | ADJ | NOUN | NOUN | ADJ | NOUN
272,GO:0102486,dCTP phosphohydrolase activity,NOUN | NOUN | NOUN
273,GO:0042170,plastid membrane,ADJ | NOUN
274,GO:0031057,negative regulation of histone modification,ADJ | NOUN | ADP | NOUN | NOUN
275,GO:0061750,acid sphingomyelin phosphodiesterase activity,NOUN | NOUN | NOUN | NOUN
276,GO:0019185,snRNA-activating protein complex,NOUN | NOUN | NOUN
277,GO:1900624,negative regulation of monocyte aggregation,ADJ | NOUN | ADP | NOUN | NOUN
278,GO:1990689,endoplasmic reticulum-Golgi intermediate compartment (ERGIC) derived vesicle fusion with Golgi cis cisterna membrane,ADJ | NOUN | ADJ | NOUN | PROPN | VERB | NOUN | NOUN | ADP | PROPN | NOUN | NOUN | NOUN
279,GO:0071926,endocannabinoid signaling pathway,NOUN | NOUN | NOUN
280,GO:0032931,histone acetyltransferase activity (H3-K56 specific),NOUN | NOUN | NOUN | NOUN | ADJ
281,GO:0098672,inhibition of host CRISPR-cas system by virus,NOUN | ADP | NOUN | NOUN | NOUN | ADP | NOUN
282,GO:0015132,prostaglandin transmembrane transporter activity,NOUN | NOUN | NOUN | NOUN
283,GO:1903384,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,ADJ | NOUN | ADP | NOUN | NOUN | NOUN | ADJ | ADJ | NOUN | NOUN
284,GO:0019878,lysine biosynthetic process via aminoadipic acid,NOUN | ADJ | NOUN | ADP | NOUN | NOUN
285,GO:0010043,response to zinc ion,NOUN | ADP | NOUN | NOUN
286,GO:0034916,2-methylhexanoyl-CoA dehydrogenase activity,NOUN | NOUN | NOUN
287,GO:0043294,mitochondrial glutamate synthase complex (NADH),ADJ | NOUN | NOUN | NOUN | NOUN
288,GO:0035990,tendon cell differentiation,NOUN | NOUN | NOUN
289,GO:0098774,curli,NOUN
290,GO:1900666,positive regulation of emodin biosynthetic process,ADJ | NOUN | ADP | NOUN | ADJ | NOUN
291,GO:0072290,epithelial cell migration involved in metanephric nephron tubule morphogenesis,ADJ | NOUN | NOUN | VERB | ADP | ADJ | NOUN | NOUN | NOUN
292,GO:0033181,plasma membrane proton-transporting V-type ATPase complex,NOUN | NOUN | NOUN | NOUN | NOUN | NOUN
293,GO:0045632,negative regulation of mechanoreceptor differentiation,ADJ | NOUN | ADP | NOUN | NOUN
